label,text
ham,Could you review the attached document before this weekend?
spam,CONGRATULATIONS! You have WON a $2500 prize! Click here to claim now: bit.ly/x92kf
ham,Please find attached the report you asked for regarding product launch.
spam,"FREE laptop for you! Limited time offer, click secure-verify-now.com before it expires!!!"
spam,"Dear customer, click here to reset your bank password immediately: bit.ly/x92kf"
spam,"Get RICH quick! Make $10,000 a day working from home, no experience needed! clck.it/free-prize"
ham,"Here's the recipe you asked for, hope you enjoy making birthday gift."
spam,"Work from home and earn $500/week! No skills required, sign up: clck.it/free-prize"
ham,Can you send me the notes from yesterday's meeting about product launch?
spam,LOSE 20 POUNDS in 2 weeks with this ONE weird trick! Learn more: secure-verify-now.com
spam,WINNER!! As a valued customer you have been selected for a $5000 cash prize!
spam,"Make money fast with crypto! Guaranteed returns of 5000% daily, join now: win-big-today.net"
ham,"Hey, are we still on for lunch tomorrow at 3pm?"
ham,"I'll be a few minutes late to the marketing call, please start without me."
ham,Please find attached the report you asked for regarding budget.
spam,"Buy cheap laptop now, 90% OFF! Limited stock, order today: secure-verify-now.com"
ham,"Let's catch up over coffee sometime next week, are you free 9am?"
ham,Don't forget we have the team standup at 9am tomorrow.
ham,Reminder: your appointment is scheduled for 9am next week.
ham,Attached is the presentation for the marketing meeting on Thursday.
spam,"Dear customer, click here to reset your bank password immediately: secure-verify-now.com"
spam,HOT SINGLES in your area want to meet you tonight! Sign up free: bit.ly/x92kf
ham,"Great seeing you at the product launch conference, let's stay in touch."
ham,"Let's catch up over coffee sometime next week, are you free 9am?"
ham,"I've updated the marketing spreadsheet, please review when you can."
spam,CONGRATULATIONS! You have WON a $250 prize! Click here to claim now: clck.it/free-prize
spam,URGENT: Your account will be suspended. Verify your details immediately at win-big-today.net
ham,"Thanks for your help with the quarterly review project, really appreciate it."
spam,"Buy cheap supplements now, 90% OFF! Limited stock, order today: secure-verify-now.com"
ham,Reminder: your appointment is scheduled for next Friday next week.
spam,"CONGRATULATIONS! You have WON a $10,000 prize! Click here to claim now: secure-verify-now.com"
ham,"Thanks for your help with the product launch project, really appreciate it."
ham,Could you review the attached document before 9am?
ham,Just checking in to see how the marketing plans are coming along.
ham,Attached is the presentation for the product launch meeting on Thursday.
ham,"I've updated the budget spreadsheet, please review when you can."
ham,"Thanks for your help with the budget project, really appreciate it."
spam,"Dear customer, click here to reset your bank password immediately: win-big-today.net"
ham,Please find attached the report you asked for regarding onboarding.
spam,You are pre-approved for a $10000 loan with 0% interest. Apply now: secure-verify-now.com
spam,"You have an unclaimed inheritance of $10,000. Contact us urgently to process it."
spam,Your computer has a VIRUS. Download our antivirus NOW to fix it: bit.ly/x92kf
spam,CONGRATULATIONS! You have WON a $2500 prize! Click here to claim now: bit.ly/x92kf
ham,Reminder: your appointment is scheduled for Monday next week.
spam,Increase your size guaranteed or your money back! Order now win-big-today.net
spam,"FREE watches for you! Limited time offer, click secure-verify-now.com before it expires!!!"
ham,Could you review the attached document before this weekend?
spam,"Act now! Your subscription is about to expire, renew with 70% discount: clck.it/free-prize"
ham,Reminder: your appointment is scheduled for 9am next week.
ham,Happy birthday! Hope you have a wonderful day.
ham,Reminder: your appointment is scheduled for 9am next week.
ham,Just checking in to see how the marketing plans are coming along.
ham,Please find attached the report you asked for regarding product launch.
spam,Your computer has a VIRUS. Download our antivirus NOW to fix it: win-big-today.net
spam,"Get RICH quick! Make $10,000 a day working from home, no experience needed! secure-verify-now.com"
spam,"Make money fast with crypto! Guaranteed returns of 5000% daily, join now: win-big-today.net"
ham,"Thanks for your help with the marketing project, really appreciate it."
spam,You've been selected to receive a FREE iPhone! Claim within 24 hours: clck.it/free-prize
spam,URGENT: Your account will be suspended. Verify your details immediately at bit.ly/x92kf
spam,HOT SINGLES in your area want to meet you tonight! Sign up free: win-big-today.net
spam,You've been selected to receive a FREE iPhone! Claim within 24 hours: secure-verify-now.com
ham,Can we reschedule our call to Monday? Something came up.
spam,"Exclusive deal just for you: birthday gift at unbelievable price, click win-big-today.net now!"
spam,"Get RICH quick! Make $2500 a day working from home, no experience needed! bit.ly/x92kf"
ham,"Looking forward to the onboarding workshop, see you there!"
ham,"Your flight confirmation for next Monday is attached, safe travels."
spam,"Act now! Your subscription is about to expire, renew with 70% discount: win-big-today.net"
spam,WINNER!! As a valued customer you have been selected for a $500 cash prize!
ham,Could you review the attached document before next Friday?
spam,"Make money fast with crypto! Guaranteed returns of 5000% daily, join now: bit.ly/x92kf"
spam,"Make money fast with crypto! Guaranteed returns of 5000% daily, join now: clck.it/free-prize"
spam,Increase your size guaranteed or your money back! Order now bit.ly/x92kf
ham,"Here's the recipe you asked for, hope you enjoy making sunglasses."
ham,Attached is the presentation for the client project meeting on Thursday.
spam,URGENT: Your account will be suspended. Verify your details immediately at secure-verify-now.com
spam,"Dear customer, click here to reset your bank password immediately: secure-verify-now.com"
ham,"The invoice for last month's services is attached, let me know if questions."
ham,"Let's catch up over coffee sometime next week, are you free 9am?"
ham,"Thank you for your order, your sunglasses will be shipped by Monday."
ham,"I'll be a few minutes late to the onboarding call, please start without me."
ham,"I've updated the product launch spreadsheet, please review when you can."
spam,"Work from home and earn $2500/week! No skills required, sign up: bit.ly/x92kf"
ham,"Let's catch up over coffee sometime next week, are you free 9am?"
ham,"Thank you for your order, your cake will be shipped by Monday."
spam,Your computer has a VIRUS. Download our antivirus NOW to fix it: clck.it/free-prize
spam,You are pre-approved for a $10000 loan with 0% interest. Apply now: bit.ly/x92kf
spam,Increase your size guaranteed or your money back! Order now win-big-today.net
ham,"Hey, are we still on for lunch tomorrow at Tuesday morning?"
spam,You are pre-approved for a $10000 loan with 0% interest. Apply now: win-big-today.net
ham,"I've updated the budget spreadsheet, please review when you can."
spam,WINNER!! As a valued customer you have been selected for a $500 cash prize!
spam,Increase your size guaranteed or your money back! Order now secure-verify-now.com
spam,URGENT: Your account will be suspended. Verify your details immediately at win-big-today.net
spam,You've been selected to receive a FREE iPhone! Claim within 24 hours: secure-verify-now.com
spam,"Get RICH quick! Make $1000 a day working from home, no experience needed! secure-verify-now.com"
ham,Just checking in to see how the product launch plans are coming along.
ham,Please find attached the report you asked for regarding budget.
spam,Your PayPal account has been LIMITED. Confirm your identity here: bit.ly/x92kf
spam,"Dear customer, click here to reset your bank password immediately: bit.ly/x92kf"
ham,"Thank you for your order, your birthday gift will be shipped by 9am."
ham,Happy birthday! Hope you have a wonderful day.
spam,"Work from home and earn $1000/week! No skills required, sign up: secure-verify-now.com"
spam,Increase your size guaranteed or your money back! Order now bit.ly/x92kf
ham,"I'll be a few minutes late to the client project call, please start without me."
spam,"Dear customer, click here to reset your bank password immediately: bit.ly/x92kf"
spam,"Buy cheap watches now, 90% OFF! Limited stock, order today: secure-verify-now.com"
ham,"I've updated the marketing spreadsheet, please review when you can."
ham,"Looking forward to the client project workshop, see you there!"
spam,"Exclusive deal just for you: sunglasses at unbelievable price, click secure-verify-now.com now!"
spam,Your PayPal account has been LIMITED. Confirm your identity here: clck.it/free-prize
spam,"Buy cheap cake now, 90% OFF! Limited stock, order today: bit.ly/x92kf"
ham,Happy birthday! Hope you have a wonderful day.
ham,Can we reschedule our call to Monday? Something came up.
spam,LOSE 20 POUNDS in 2 weeks with this ONE weird trick! Learn more: win-big-today.net
spam,WINNER!! As a valued customer you have been selected for a $50 cash prize!
ham,"Thank you for your order, your sunglasses will be shipped by this weekend."
ham,Could you review the attached document before Monday?
spam,"WINNER!! As a valued customer you have been selected for a $10,000 cash prize!"
spam,You are pre-approved for a $10000 loan with 0% interest. Apply now: clck.it/free-prize
ham,"Hey, are we still on for lunch tomorrow at 3pm?"
spam,WINNER!! As a valued customer you have been selected for a $500 cash prize!
ham,"Thank you for your order, your sunglasses will be shipped by next Friday."
spam,"Buy cheap sunglasses now, 90% OFF! Limited stock, order today: clck.it/free-prize"
spam,Your computer has a VIRUS. Download our antivirus NOW to fix it: bit.ly/x92kf
ham,"Great seeing you at the budget conference, let's stay in touch."
ham,"Thank you for your order, your laptop will be shipped by Tuesday morning."
spam,You have an unclaimed inheritance of $50. Contact us urgently to process it.
ham,"Looking forward to the client project workshop, see you there!"
ham,Don't forget we have the team standup at 9am tomorrow.
ham,Can you send me the notes from yesterday's meeting about quarterly review?
spam,URGENT: Your account will be suspended. Verify your details immediately at bit.ly/x92kf
ham,"The invoice for last month's services is attached, let me know if questions."
spam,You've been selected to receive a FREE iPhone! Claim within 24 hours: win-big-today.net
ham,Could you review the attached document before Tuesday morning?
ham,Attached is the presentation for the budget meeting on Thursday.
ham,"Let's catch up over coffee sometime next week, are you free 3pm?"
spam,"Exclusive deal just for you: watches at unbelievable price, click secure-verify-now.com now!"
ham,Can you send me the notes from yesterday's meeting about onboarding?
ham,"I'll be a few minutes late to the onboarding call, please start without me."
ham,"Looking forward to the product launch workshop, see you there!"
ham,"Thanks for your help with the client project project, really appreciate it."
spam,"Act now! Your subscription is about to expire, renew with 70% discount: clck.it/free-prize"
ham,Reminder: your appointment is scheduled for Monday next week.
spam,LOSE 20 POUNDS in 2 weeks with this ONE weird trick! Learn more: secure-verify-now.com
spam,"Make money fast with crypto! Guaranteed returns of 500% daily, join now: bit.ly/x92kf"
ham,"Here's the recipe you asked for, hope you enjoy making birthday gift."
ham,"Your flight confirmation for next 3pm is attached, safe travels."
ham,"Great seeing you at the marketing conference, let's stay in touch."
spam,LOSE 20 POUNDS in 2 weeks with this ONE weird trick! Learn more: bit.ly/x92kf
ham,"Your flight confirmation for next 9am is attached, safe travels."
ham,"Here's the recipe you asked for, hope you enjoy making birthday gift."
spam,WINNER!! As a valued customer you have been selected for a $500 cash prize!
ham,"Your flight confirmation for next Tuesday morning is attached, safe travels."
spam,You have an unclaimed inheritance of $500. Contact us urgently to process it.
spam,Your computer has a VIRUS. Download our antivirus NOW to fix it: secure-verify-now.com
spam,CONGRATULATIONS! You have WON a $1000 prize! Click here to claim now: clck.it/free-prize
spam,You have an unclaimed inheritance of $2500. Contact us urgently to process it.
ham,"Thanks for your help with the marketing project, really appreciate it."
spam,"Exclusive deal just for you: laptop at unbelievable price, click win-big-today.net now!"
ham,"Your flight confirmation for next 3pm is attached, safe travels."
spam,"Get RICH quick! Make $50 a day working from home, no experience needed! clck.it/free-prize"
ham,Reminder: your appointment is scheduled for Monday next week.
ham,Attached is the presentation for the product launch meeting on Thursday.
ham,"Let's catch up over coffee sometime next week, are you free next Friday?"
spam,"Act now! Your subscription is about to expire, renew with 70% discount: clck.it/free-prize"
ham,"Thank you for your order, your cake will be shipped by next Friday."
spam,You are pre-approved for a $10000 loan with 0% interest. Apply now: bit.ly/x92kf
spam,"Exclusive deal just for you: sunglasses at unbelievable price, click win-big-today.net now!"
spam,Your PayPal account has been LIMITED. Confirm your identity here: secure-verify-now.com
ham,"Hey, are we still on for lunch tomorrow at Tuesday morning?"
spam,HOT SINGLES in your area want to meet you tonight! Sign up free: clck.it/free-prize
ham,Just checking in to see how the onboarding plans are coming along.
ham,Could you review the attached document before Tuesday morning?
spam,"Work from home and earn $50/week! No skills required, sign up: clck.it/free-prize"
ham,"Looking forward to the marketing workshop, see you there!"
ham,"I've updated the marketing spreadsheet, please review when you can."
spam,Nigerian prince needs your help transferring $1000. Reply now for your share!
spam,HOT SINGLES in your area want to meet you tonight! Sign up free: clck.it/free-prize
ham,Please find attached the report you asked for regarding product launch.
ham,Happy birthday! Hope you have a wonderful day.
spam,CONGRATULATIONS! You have WON a $5000 prize! Click here to claim now: win-big-today.net
spam,You have an unclaimed inheritance of $500. Contact us urgently to process it.
ham,"I'll be a few minutes late to the client project call, please start without me."
ham,"Thanks for your help with the budget project, really appreciate it."
spam,LOSE 20 POUNDS in 2 weeks with this ONE weird trick! Learn more: win-big-today.net
spam,LOSE 20 POUNDS in 2 weeks with this ONE weird trick! Learn more: win-big-today.net
ham,"Great seeing you at the client project conference, let's stay in touch."
spam,"Make money fast with crypto! Guaranteed returns of 50% daily, join now: win-big-today.net"
ham,"Looking forward to the onboarding workshop, see you there!"
ham,Can you send me the notes from yesterday's meeting about client project?
ham,"Great seeing you at the quarterly review conference, let's stay in touch."
ham,"Let's catch up over coffee sometime next week, are you free Monday?"
ham,"Hey, are we still on for lunch tomorrow at this weekend?"
spam,HOT SINGLES in your area want to meet you tonight! Sign up free: bit.ly/x92kf
ham,"The invoice for last month's services is attached, let me know if questions."
spam,Your PayPal account has been LIMITED. Confirm your identity here: clck.it/free-prize
ham,Just checking in to see how the product launch plans are coming along.
ham,"Great seeing you at the client project conference, let's stay in touch."
ham,"Thank you for your order, your laptop will be shipped by 3pm."
spam,CONGRATULATIONS! You have WON a $1000 prize! Click here to claim now: bit.ly/x92kf
spam,"Act now! Your subscription is about to expire, renew with 70% discount: bit.ly/x92kf"
spam,"Get RICH quick! Make $5000 a day working from home, no experience needed! bit.ly/x92kf"
spam,Nigerian prince needs your help transferring $1000. Reply now for your share!
ham,"I've updated the onboarding spreadsheet, please review when you can."
spam,"Get RICH quick! Make $1000 a day working from home, no experience needed! bit.ly/x92kf"
spam,"Buy cheap laptop now, 90% OFF! Limited stock, order today: clck.it/free-prize"
ham,Don't forget we have the team standup at 9am tomorrow.
spam,"Get RICH quick! Make $5000 a day working from home, no experience needed! clck.it/free-prize"
ham,"I'll be a few minutes late to the quarterly review call, please start without me."
ham,"Your flight confirmation for next next Friday is attached, safe travels."
ham,"The invoice for last month's services is attached, let me know if questions."
ham,"The invoice for last month's services is attached, let me know if questions."
ham,Can you send me the notes from yesterday's meeting about onboarding?
ham,"Looking forward to the quarterly review workshop, see you there!"
ham,Can we reschedule our call to Monday? Something came up.
spam,HOT SINGLES in your area want to meet you tonight! Sign up free: win-big-today.net
ham,Can you send me the notes from yesterday's meeting about onboarding?
spam,LOSE 20 POUNDS in 2 weeks with this ONE weird trick! Learn more: secure-verify-now.com
spam,"Act now! Your subscription is about to expire, renew with 70% discount: win-big-today.net"
spam,Your PayPal account has been LIMITED. Confirm your identity here: win-big-today.net
ham,Reminder: your appointment is scheduled for 3pm next week.
ham,Please find attached the report you asked for regarding client project.
spam,"FREE supplements for you! Limited time offer, click clck.it/free-prize before it expires!!!"
spam,Your PayPal account has been LIMITED. Confirm your identity here: bit.ly/x92kf
spam,LOSE 20 POUNDS in 2 weeks with this ONE weird trick! Learn more: bit.ly/x92kf
spam,"Buy cheap cake now, 90% OFF! Limited stock, order today: bit.ly/x92kf"
ham,"Thanks for your help with the onboarding project, really appreciate it."
ham,Can we reschedule our call to Monday? Something came up.
spam,"Work from home and earn $5000/week! No skills required, sign up: clck.it/free-prize"
spam,You have an unclaimed inheritance of $250. Contact us urgently to process it.
spam,You are pre-approved for a $10000 loan with 0% interest. Apply now: bit.ly/x92kf
spam,WINNER!! As a valued customer you have been selected for a $2500 cash prize!
spam,Nigerian prince needs your help transferring $5000. Reply now for your share!
ham,Just checking in to see how the onboarding plans are coming along.
ham,Just checking in to see how the onboarding plans are coming along.
spam,URGENT: Your account will be suspended. Verify your details immediately at bit.ly/x92kf
spam,"Exclusive deal just for you: sunglasses at unbelievable price, click clck.it/free-prize now!"
spam,Nigerian prince needs your help transferring $1000. Reply now for your share!
ham,Happy birthday! Hope you have a wonderful day.
ham,Don't forget we have the team standup at this weekend tomorrow.
ham,Attached is the presentation for the client project meeting on Thursday.
spam,"FREE supplements for you! Limited time offer, click win-big-today.net before it expires!!!"
spam,You've been selected to receive a FREE iPhone! Claim within 24 hours: secure-verify-now.com
ham,"Here's the recipe you asked for, hope you enjoy making supplements."
ham,"Hey, are we still on for lunch tomorrow at Monday?"
ham,Attached is the presentation for the client project meeting on Thursday.
spam,You have an unclaimed inheritance of $50. Contact us urgently to process it.
spam,Your computer has a VIRUS. Download our antivirus NOW to fix it: clck.it/free-prize
spam,You are pre-approved for a $10000 loan with 0% interest. Apply now: clck.it/free-prize
ham,Can we reschedule our call to Monday? Something came up.
ham,Don't forget we have the team standup at 3pm tomorrow.
spam,"Buy cheap supplements now, 90% OFF! Limited stock, order today: clck.it/free-prize"
spam,URGENT: Your account will be suspended. Verify your details immediately at clck.it/free-prize
spam,Nigerian prince needs your help transferring $2500. Reply now for your share!
spam,"FREE cake for you! Limited time offer, click win-big-today.net before it expires!!!"
spam,You've been selected to receive a FREE iPhone! Claim within 24 hours: win-big-today.net
spam,"Nigerian prince needs your help transferring $10,000. Reply now for your share!"
spam,Nigerian prince needs your help transferring $1000. Reply now for your share!
spam,You've been selected to receive a FREE iPhone! Claim within 24 hours: clck.it/free-prize
spam,"Act now! Your subscription is about to expire, renew with 70% discount: bit.ly/x92kf"
spam,You are pre-approved for a $10000 loan with 0% interest. Apply now: secure-verify-now.com
ham,Happy birthday! Hope you have a wonderful day.
spam,You've been selected to receive a FREE iPhone! Claim within 24 hours: bit.ly/x92kf
ham,Can you send me the notes from yesterday's meeting about client project?
spam,Increase your size guaranteed or your money back! Order now bit.ly/x92kf
spam,"FREE sunglasses for you! Limited time offer, click win-big-today.net before it expires!!!"
spam,You have an unclaimed inheritance of $500. Contact us urgently to process it.
ham,"The invoice for last month's services is attached, let me know if questions."
spam,HOT SINGLES in your area want to meet you tonight! Sign up free: bit.ly/x92kf
spam,"Dear customer, click here to reset your bank password immediately: bit.ly/x92kf"
ham,"Hey, are we still on for lunch tomorrow at 9am?"
ham,"Great seeing you at the client project conference, let's stay in touch."
spam,"Exclusive deal just for you: gadget at unbelievable price, click win-big-today.net now!"
ham,Can you send me the notes from yesterday's meeting about budget?
ham,"Great seeing you at the product launch conference, let's stay in touch."
ham,Please find attached the report you asked for regarding quarterly review.
ham,"Here's the recipe you asked for, hope you enjoy making watches."
ham,"Hey, are we still on for lunch tomorrow at Tuesday morning?"
ham,"Let's catch up over coffee sometime next week, are you free this weekend?"
ham,"Your flight confirmation for next Monday is attached, safe travels."
ham,Happy birthday! Hope you have a wonderful day.
ham,Just checking in to see how the product launch plans are coming along.
spam,URGENT: Your account will be suspended. Verify your details immediately at clck.it/free-prize
spam,HOT SINGLES in your area want to meet you tonight! Sign up free: win-big-today.net
ham,Don't forget we have the team standup at this weekend tomorrow.
spam,"Work from home and earn $50/week! No skills required, sign up: secure-verify-now.com"
spam,Your PayPal account has been LIMITED. Confirm your identity here: win-big-today.net
spam,"FREE cake for you! Limited time offer, click win-big-today.net before it expires!!!"
ham,Happy birthday! Hope you have a wonderful day.
spam,"Work from home and earn $250/week! No skills required, sign up: secure-verify-now.com"
ham,"The invoice for last month's services is attached, let me know if questions."
spam,CONGRATULATIONS! You have WON a $50 prize! Click here to claim now: bit.ly/x92kf
ham,Can we reschedule our call to Monday? Something came up.
ham,"Here's the recipe you asked for, hope you enjoy making watches."
ham,Can we reschedule our call to this weekend? Something came up.
ham,"Here's the recipe you asked for, hope you enjoy making cake."
spam,"Nigerian prince needs your help transferring $10,000. Reply now for your share!"
ham,Don't forget we have the team standup at next Friday tomorrow.
spam,Your PayPal account has been LIMITED. Confirm your identity here: bit.ly/x92kf
spam,"Make money fast with crypto! Guaranteed returns of 5000% daily, join now: win-big-today.net"
spam,Increase your size guaranteed or your money back! Order now clck.it/free-prize
spam,"Make money fast with crypto! Guaranteed returns of 250% daily, join now: bit.ly/x92kf"
ham,"I'll be a few minutes late to the onboarding call, please start without me."
ham,"The invoice for last month's services is attached, let me know if questions."
spam,Your computer has a VIRUS. Download our antivirus NOW to fix it: bit.ly/x92kf
ham,"Your flight confirmation for next Tuesday morning is attached, safe travels."
spam,"FREE sunglasses for you! Limited time offer, click bit.ly/x92kf before it expires!!!"
ham,"Looking forward to the budget workshop, see you there!"
ham,Attached is the presentation for the onboarding meeting on Thursday.
spam,"Exclusive deal just for you: gadget at unbelievable price, click clck.it/free-prize now!"
spam,"Work from home and earn $1000/week! No skills required, sign up: bit.ly/x92kf"
spam,Increase your size guaranteed or your money back! Order now clck.it/free-prize
spam,"Act now! Your subscription is about to expire, renew with 70% discount: clck.it/free-prize"
spam,"Dear customer, click here to reset your bank password immediately: clck.it/free-prize"
ham,Don't forget we have the team standup at 3pm tomorrow.
spam,Your computer has a VIRUS. Download our antivirus NOW to fix it: bit.ly/x92kf
ham,"I'll be a few minutes late to the onboarding call, please start without me."
ham,Can we reschedule our call to 3pm? Something came up.
ham,"I've updated the onboarding spreadsheet, please review when you can."
ham,Could you review the attached document before Tuesday morning?
